nohup: ignoring input
Linux 5.14.0-427.44.1.el9_4.x86_64 (bc488234cf69) 	11/22/24 	_x86_64_	(8 CPU)

22:33:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:37:25     all    6.83    0.00    2.65    0.00    0.63    0.38    0.00    0.00    0.00   89.51
22:37:26     all    9.09    0.00    1.87    0.12    0.62    0.62    0.12    0.00    0.00   87.55
22:37:27     all    7.86    0.00    2.53    0.13    0.76    0.76    0.00    0.00    0.00   87.96
22:37:28     all    3.77    0.00    1.76    0.13    0.25    0.38    0.00    0.00    0.00   93.72
22:37:29     all    3.52    0.00    2.14    0.00    0.38    0.63    0.00    0.00    0.00   93.33
22:37:30     all    5.55    0.00    1.39    0.13    0.50    0.38    0.00    0.00    0.00   92.06
22:37:31     all    4.89    0.00    3.26    0.00    0.63    0.63    0.00    0.00    0.00   90.60
22:37:32     all    8.43    0.00    4.03    0.00    0.63    0.50    0.13    0.00    0.00   86.29
22:37:33     all    4.16    0.00    2.02    0.00    0.38    0.38    0.00    0.00    0.00   93.07
22:37:34     all   10.15    0.00    2.63    0.00    0.88    0.75    0.13    0.00    0.00   85.46
22:37:35     all    4.64    0.00    2.13    0.38    0.13    0.25    0.00    0.00    0.00   92.47
22:37:36     all    3.75    0.00    1.50    0.12    0.62    0.50    0.00    0.00    0.00   93.51
22:37:37     all    3.64    0.00    2.01    0.25    0.38    0.75    0.00    0.00    0.00   92.97
22:37:38     all    2.89    0.00    1.13    0.00    0.50    0.13    0.00    0.00    0.00   95.35
22:37:39     all    5.79    0.00    2.39    0.00    0.25    0.50    0.25    0.00    0.00   90.81
22:37:40     all   16.83    0.00    1.63    0.00    0.75    0.63    0.00    0.00    0.00   80.15
22:37:41     all    7.31    0.00    3.78    0.00    0.25    0.38    0.00    0.00    0.00   88.27
22:37:42     all    4.89    0.00    2.88    0.00    0.63    0.50    0.00    0.00    0.00   91.10
22:37:43     all    4.77    0.00    1.38    0.13    0.50    0.38    0.00    0.00    0.00   92.84
22:37:44     all    3.63    0.00    1.75    0.13    0.38    0.38    0.00    0.00    0.00   93.73
22:37:45     all    4.51    0.00    2.00    0.00    0.50    0.63    0.00    0.00    0.00   92.37
22:37:46     all    4.92    0.00    1.26    0.13    0.38    0.38    0.13    0.00    0.00   92.81
22:37:47     all    4.53    0.00    2.01    0.00    0.50    0.63    0.00    0.00    0.00   92.33
22:37:48     all    4.89    0.00    2.89    0.25    0.63    0.50    0.00    0.00    0.00   90.84
